#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007f56450e3100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=36
#@verbose=true
process                                               test       nrep        count           time
     10                                          MPI_Bcast         12            1   0.0000035810
     10                                          MPI_Bcast         13            1   0.0000027610
     10                                          MPI_Bcast         14            1   0.0000029810
     10                                          MPI_Bcast         15            1   0.0000056890
     10                                          MPI_Bcast         16            1   0.0000025410
     10                                          MPI_Bcast         17            1   0.0000028240
     10                                          MPI_Bcast         18            1   0.0000037310
     10                                          MPI_Bcast         19            1   0.0000029780
     10                                          MPI_Bcast         20            1   0.0000031360
     11                                          MPI_Bcast          1            1   0.0001228850
     11                                          MPI_Bcast          2            1   0.0000042590
     11                                          MPI_Bcast          3            1   0.0000011090
     11                                          MPI_Bcast          4            1   0.0000034570
     11                                          MPI_Bcast          5            1   0.0000056630
     11                                          MPI_Bcast          6            1   0.0000041620
     11                                          MPI_Bcast          7            1   0.0000035660
     11                                          MPI_Bcast          8            1   0.0000025500
     11                                          MPI_Bcast          9            1   0.0000022450
     11                                          MPI_Bcast         10            1   0.0000021830
     11                                          MPI_Bcast         11            1   0.0000019530
     11                                          MPI_Bcast         12            1   0.0000026980
     11                                          MPI_Bcast         13            1   0.0000023200
     11                                          MPI_Bcast         14            1   0.0000017290
     11                                          MPI_Bcast         15            1   0.0000053970
     11                                          MPI_Bcast         16            1   0.0000028300
     11                                          MPI_Bcast         17            1   0.0000020600
     11                                          MPI_Bcast         18            1   0.0000028260
     11                                          MPI_Bcast         19            1   0.0000018560
     11                                          MPI_Bcast         20            1   0.0000023340
     12                                          MPI_Bcast          1            1   0.0001743090
     12                                          MPI_Bcast          2            1   0.0000054720
     12                                          MPI_Bcast          3            1   0.0000046940
     12                                          MPI_Bcast          4            1   0.0000045360
     12                                          MPI_Bcast          5            1   0.0000045180
     12                                          MPI_Bcast          6            1   0.0000051470
     12                                          MPI_Bcast          7            1   0.0000055370
     12                                          MPI_Bcast          8            1   0.0000056340
     12                                          MPI_Bcast          9            1   0.0000047560
     12                                          MPI_Bcast         10            1   0.0000043990
     12                                          MPI_Bcast         11            1   0.0000042610
     12                                          MPI_Bcast         12            1   0.0000059130
     12                                          MPI_Bcast         13            1   0.0000042610
     12                                          MPI_Bcast         14            1   0.0000041840
     12                                          MPI_Bcast         15            1   0.0000077570
     12                                          MPI_Bcast         16            1   0.0000044480
     12                                          MPI_Bcast         17            1   0.0000040270
     12                                          MPI_Bcast         18            1   0.0000047230
     12                                          MPI_Bcast         19            1   0.0000047500
     12                                          MPI_Bcast         20            1   0.0000045630
     13                                          MPI_Bcast          1            1   0.0001160640
     13                                          MPI_Bcast          2            1   0.0000038810
     13                                          MPI_Bcast          3            1   0.0000062240
     13                                          MPI_Bcast          4            1   0.0000043390
     13                                          MPI_Bcast          5            1   0.0000029140
     13                                          MPI_Bcast          6            1   0.0000034260
     13                                          MPI_Bcast          7            1   0.0000035940
     13                                          MPI_Bcast          8            1   0.0000035360
     13                                          MPI_Bcast          9            1   0.0000021700
     13                                          MPI_Bcast         10            1   0.0000024550
     13                                          MPI_Bcast         11            1   0.0000025530
     13                                          MPI_Bcast         12            1   0.0000037620
     13                                          MPI_Bcast         13            1   0.0000025400
     13                                          MPI_Bcast         14            1   0.0000025900
     13                                          MPI_Bcast         15            1   0.0000050690
     13                                          MPI_Bcast         16            1   0.0000029160
     13                                          MPI_Bcast         17            1   0.0000024940
     13                                          MPI_Bcast         18            1   0.0000027830
     13                                          MPI_Bcast         19            1   0.0000026700
     13                                          MPI_Bcast         20            1   0.0000028280
     14                                          MPI_Bcast          1            1   0.0001107650
     14                                          MPI_Bcast          2            1   0.0000043780
     14                                          MPI_Bcast          3            1   0.0000037910
     14                                          MPI_Bcast          4            1   0.0000051870
     14                                          MPI_Bcast          5            1   0.0000045410
     14                                          MPI_Bcast          6            1   0.0000050630
     14                                          MPI_Bcast          7            1   0.0000047140
     14                                          MPI_Bcast          8            1   0.0000035740
     14                                          MPI_Bcast          9            1   0.0000038570
     14                                          MPI_Bcast         10            1   0.0000041050
     14                                          MPI_Bcast         11            1   0.0000039720
     14                                          MPI_Bcast         12            1   0.0000053690
     14                                          MPI_Bcast         13            1   0.0000037180
     14                                          MPI_Bcast         14            1   0.0000038020
     14                                          MPI_Bcast         15            1   0.0000088300
     14                                          MPI_Bcast         16            1   0.0000046580
     14                                          MPI_Bcast         17            1   0.0000036490
     14                                          MPI_Bcast         18            1   0.0000043580
     14                                          MPI_Bcast         19            1   0.0000036930
     14                                          MPI_Bcast         20            1   0.0000040480
     15                                          MPI_Bcast          1            1   0.0002557270
     15                                          MPI_Bcast          2            1   0.0000055420
     15                                          MPI_Bcast          3            1   0.0000027920
     15                                          MPI_Bcast          4            1   0.0000050170
     15                                          MPI_Bcast          5            1   0.0000063570
     15                                          MPI_Bcast          6            1   0.0000057070
     15                                          MPI_Bcast          7            1   0.0000043510
     15                                          MPI_Bcast          8            1   0.0000041640
     15                                          MPI_Bcast          9            1   0.0000032840
     15                                          MPI_Bcast         10            1   0.0000029940
     15                                          MPI_Bcast         11            1   0.0000028170
     15                                          MPI_Bcast         12            1   0.0000043590
     15                                          MPI_Bcast         13            1   0.0000030050
     15                                          MPI_Bcast         14            1   0.0000027830
     15                                          MPI_Bcast         15            1   0.0000070350
     15                                          MPI_Bcast         16            1   0.0000032250
     15                                          MPI_Bcast         17            1   0.0000028150
     15                                          MPI_Bcast         18            1   0.0000039940
     15                                          MPI_Bcast         19            1   0.0000028160
     15                                          MPI_Bcast         20            1   0.0000028460
     16                                          MPI_Bcast          1            1   0.0001823870
     16                                          MPI_Bcast          2            1   0.0000070920
     16                                          MPI_Bcast          3            1   0.0000062490
     16                                          MPI_Bcast          4            1   0.0000058200
     16                                          MPI_Bcast          5            1   0.0000060330
     16                                          MPI_Bcast          6            1   0.0000066660
     16                                          MPI_Bcast          7            1   0.0000074530
     16                                          MPI_Bcast          8            1   0.0000058380
     16                                          MPI_Bcast          9            1   0.0000059260
     16                                          MPI_Bcast         10            1   0.0000056490
     16                                          MPI_Bcast         11            1   0.0000058800
     16                                          MPI_Bcast         12            1   0.0000066970
     16                                          MPI_Bcast         13            1   0.0000059200
     16                                          MPI_Bcast         14            1   0.0000058600
     16                                          MPI_Bcast         15            1   0.0000060670
     16                                          MPI_Bcast         16            1   0.0000060790
     16                                          MPI_Bcast         17            1   0.0000056180
     16                                          MPI_Bcast         18            1   0.0000062920
     16                                          MPI_Bcast         19            1   0.0000056240
     16                                          MPI_Bcast         20            1   0.0000058190
     17                                          MPI_Bcast          1            1   0.0000222370
     17                                          MPI_Bcast          2            1   0.0000026130
     17                                          MPI_Bcast          3            1   0.0000014320
     17                                          MPI_Bcast          4            1   0.0000033370
     17                                          MPI_Bcast          5            1   0.0000016350
     17                                          MPI_Bcast          6            1   0.0000020470
     17                                          MPI_Bcast          7            1   0.0000028720
     17                                          MPI_Bcast          8            1   0.0000022410
     17                                          MPI_Bcast          9            1   0.0000014900
     17                                          MPI_Bcast         10            1   0.0000018340
     17                                          MPI_Bcast         11            1   0.0000016160
     17                                          MPI_Bcast         12            1   0.0000029910
     17                                          MPI_Bcast         13            1   0.0000012330
     17                                          MPI_Bcast         14            1   0.0000015420
     17                                          MPI_Bcast         15            1   0.0000064090
     17                                          MPI_Bcast         16            1   0.0000019990
     17                                          MPI_Bcast         17            1   0.0000016540
     17                                          MPI_Bcast         18            1   0.0000014480
     17                                          MPI_Bcast         19            1   0.0000016170
     17                                          MPI_Bcast         20            1   0.0000012320
     18                                          MPI_Bcast          1            1   0.0000220690
     18                                          MPI_Bcast          2            1   0.0000031920
     18                                          MPI_Bcast          3            1   0.0000028380
     18                                          MPI_Bcast          4            1   0.0000034910
     18                                          MPI_Bcast          5            1   0.0000032230
     18                                          MPI_Bcast          6            1   0.0000024210
