#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007f009d3c2100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=16
#@verbose=true
process                                               test       nrep        count           time
      2                                       MPI_Alltoall         10            1   0.0000077430
      2                                       MPI_Alltoall         11            1   0.0000087970
      2                                       MPI_Alltoall         12            1   0.0000086790
      2                                       MPI_Alltoall         13            1   0.0000094840
      2                                       MPI_Alltoall         14            1   0.0000083630
      2                                       MPI_Alltoall         15            1   0.0000085020
      2                                       MPI_Alltoall         16            1   0.0000087160
      2                                       MPI_Alltoall         17            1   0.0000094790
      2                                       MPI_Alltoall         18            1   0.0000086120
      2                                       MPI_Alltoall         19            1   0.0000100400
      2                                       MPI_Alltoall         20            1   0.0000092160
      3                                       MPI_Alltoall          1            1   0.0003146840
      3                                       MPI_Alltoall          2            1   0.0000106620
      3                                       MPI_Alltoall          3            1   0.0000136470
      3                                       MPI_Alltoall          4            1   0.0000096950
      3                                       MPI_Alltoall          5            1   0.0000099550
      3                                       MPI_Alltoall          6            1   0.0000096030
      3                                       MPI_Alltoall          7            1   0.0000101500
      3                                       MPI_Alltoall          8            1   0.0000101240
      3                                       MPI_Alltoall          9            1   0.0000129730
      3                                       MPI_Alltoall         10            1   0.0000100190
      3                                       MPI_Alltoall         11            1   0.0000099780
      3                                       MPI_Alltoall         12            1   0.0000100210
      3                                       MPI_Alltoall         13            1   0.0000108930
      3                                       MPI_Alltoall         14            1   0.0000104220
      3                                       MPI_Alltoall         15            1   0.0000095190
      3                                       MPI_Alltoall         16            1   0.0000090680
      3                                       MPI_Alltoall         17            1   0.0000087210
      3                                       MPI_Alltoall         18            1   0.0000088270
      3                                       MPI_Alltoall         19            1   0.0000088590
      3                                       MPI_Alltoall         20            1   0.0000079570
      4                                       MPI_Alltoall          1            1   0.0002656990
      4                                       MPI_Alltoall          2            1   0.0000089640
      4                                       MPI_Alltoall          3            1   0.0000136630
      4                                       MPI_Alltoall          4            1   0.0000101770
      4                                       MPI_Alltoall          5            1   0.0000102280
      4                                       MPI_Alltoall          6            1   0.0000109400
      4                                       MPI_Alltoall          7            1   0.0000125730
      4                                       MPI_Alltoall          8            1   0.0000124500
      4                                       MPI_Alltoall          9            1   0.0000135290
      4                                       MPI_Alltoall         10            1   0.0000095730
      4                                       MPI_Alltoall         11            1   0.0000086470
      4                                       MPI_Alltoall         12            1   0.0000099150
      4                                       MPI_Alltoall         13            1   0.0000086700
      4                                       MPI_Alltoall         14            1   0.0000097100
