Built target mpibenchmark
Built target mpibenchmark
[ 48%] Built target mpibenchmark
[ 64%] Built target mpibenchPredNreps
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchPredNreps
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 64%] Built target mpibenchmark
[ 65%] Built target mpibenchmark
[ 65%] Built target mpibenchmark
[ 97%] Built target mpibenchPredNreps
[ 97%] Built target nrep_pred
[ 97%] Built target nrep_pred
Built target mpibenchPredNreps
Built target mpibenchPredNreps
Built target mpibenchPredNreps
Built target mpibenchPredNreps
[ 86%] Built target mpibenchPredNreps
[ 81%] Built target mpibenchPredNreps
[ 84%] Built target verify_clock
[ 84%] Built target mpibenchPredNreps
[ 84%] Built target mpibenchPredNreps
[ 84%] Built target mpibenchPredNreps
[ 84%] Built target mpibenchPredNreps
[ 84%] Built target mpibenchPredNreps
[ 83%] Built target verify_clock
[ 75%] Built target mpibenchPredNreps
[ 27%] Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target mpibenchmark
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target nrep_pred
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target mpibenchPredNreps
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target verify_clock
Built target nrep_pred
Built target verify_clock
#Command-line arguments:  /home/thesis/steiner/reprompi/./bin/mpibenchmark --calls-list=MPI_Bcast,MPI_Alltoall,MPI_Allreduce --msizes-list=1,4,16,128,1024,10240,102400,1024000 --nrep=20 -v
#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI_BOR
#@datatype=MPI_BYTE
#@datatype_extent_bytes=1
#@datatype_size_bytes=1
#@root_proc=0
#@reproMPIcommitSHA1=00325471f9a39c5ffc35796f360fb02838cbef84
#@nprocs=16
#@clocktype=local
#@clock=MPI_Wtime
#@sync=MPI_Barrier
#@nrep=20
process                                               test       nrep        count loc_tstart_sec   loc_tend_sec 
      9                                          MPI_Bcast         14            1 116773.4334741830 116773.4334780590
      9                                          MPI_Bcast         15            1 116773.4334844140 116773.4334883840
      9                                          MPI_Bcast         16            1 116773.4334941590 116773.4334983930
      9                                          MPI_Bcast         17            1 116773.4335042560 116773.4335096360
      9                                          MPI_Bcast         18            1 116773.4335151750 116773.4335195820
      9                                          MPI_Bcast         19            1 116773.4335280440 116773.4335314590
     10                                          MPI_Bcast          0            1 116776.0423139030 116776.0423178480
     10                                          MPI_Bcast          1            1 116776.0423252500 116776.0423289710
     10                                          MPI_Bcast          2            1 116776.0423358240 116776.0423401370
     10                                          MPI_Bcast          3            1 116776.0423471780 116776.0423592920
     10                                          MPI_Bcast          4            1 116776.0423637810 116776.0423679660
     10                                          MPI_Bcast          5            1 116776.0423747980 116776.0423795320
     10                                          MPI_Bcast          6            1 116776.0423857610 116776.0423903320
     10                                          MPI_Bcast          7            1 116776.0423966710 116776.0424002510
     10                                          MPI_Bcast          8            1 116776.0424060370 116776.0424110290
     10                                          MPI_Bcast          9            1 116776.0424174510 116776.0424221080
     10                                          MPI_Bcast         10            1 116776.0424285440 116776.0424329660
     10                                          MPI_Bcast         11            1 116776.0424390150 116776.0424430930
     10                                          MPI_Bcast         12            1 116776.0424493410 116776.0424540960
     10                                          MPI_Bcast         13            1 116776.0424597520 116776.0424645160
     10                                          MPI_Bcast         14            1 116776.0424713400 116776.0424752400
     10                                          MPI_Bcast         15            1 116776.0424814950 116776.0424853590
     10                                          MPI_Bcast         16            1 116776.0424913210 116776.0424954120
     10                                          MPI_Bcast         17            1 116776.0425015230 116776.0425067220
     10                                          MPI_Bcast         18            1 116776.0425123620 116776.0425200980
     10                                          MPI_Bcast         19            1 116776.0425238860 116776.0425286820
     11                                          MPI_Bcast          0            1 116775.5547444140 116775.5547493500
     11                                          MPI_Bcast          1            1 116775.5547541410 116775.5547598480
     11                                          MPI_Bcast          2            1 116775.5547641840 116775.5547717170
     11                                          MPI_Bcast          3            1 116775.5547762270 116775.5547831560
     11                                          MPI_Bcast          4            1 116775.5547943620 116775.5547990490
     11                                          MPI_Bcast          5            1 116775.5548037000 116775.5548103460
     11                                          MPI_Bcast          6            1 116775.5548146550 116775.5548211670
     11                                          MPI_Bcast          7            1 116775.5548255660 116775.5548309710
     11                                          MPI_Bcast          8            1 116775.5548350970 116775.5548421300
     11                                          MPI_Bcast          9            1 116775.5548459360 116775.5548525790
     11                                          MPI_Bcast         10            1 116775.5548574030 116775.5548635340
