#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007fa4c487b100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=32
#@verbose=true
process                                               test       nrep        count           time
     11                                          MPI_Bcast         12            1   0.0000054780
     11                                          MPI_Bcast         13            1   0.0000045490
     11                                          MPI_Bcast         14            1   0.0000053500
     11                                          MPI_Bcast         15            1   0.0000040580
     11                                          MPI_Bcast         16            1   0.0000051310
     11                                          MPI_Bcast         17            1   0.0000055140
     11                                          MPI_Bcast         18            1   0.0000047940
     11                                          MPI_Bcast         19            1   0.0000041760
     11                                          MPI_Bcast         20            1   0.0000054480
     12                                          MPI_Bcast          1            1   0.0001789170
     12                                          MPI_Bcast          2            1   0.0000078710
     12                                          MPI_Bcast          3            1   0.0000058020
     12                                          MPI_Bcast          4            1   0.0000069110
     12                                          MPI_Bcast          5            1   0.0000061160
     12                                          MPI_Bcast          6            1   0.0000065130
     12                                          MPI_Bcast          7            1   0.0000076360
     12                                          MPI_Bcast          8            1   0.0000075610
     12                                          MPI_Bcast          9            1   0.0000065180
     12                                          MPI_Bcast         10            1   0.0000063000
     12                                          MPI_Bcast         11            1   0.0000059070
     12                                          MPI_Bcast         12            1   0.0000068530
     12                                          MPI_Bcast         13            1   0.0000067170
     12                                          MPI_Bcast         14            1   0.0000069430
     12                                          MPI_Bcast         15            1   0.0000065270
     12                                          MPI_Bcast         16            1   0.0000071190
     12                                          MPI_Bcast         17            1   0.0000074240
     12                                          MPI_Bcast         18            1   0.0000062810
     12                                          MPI_Bcast         19            1   0.0000060300
     12                                          MPI_Bcast         20            1   0.0000073370
     13                                          MPI_Bcast          1            1   0.0001833290
     13                                          MPI_Bcast          2            1   0.0000057390
     13                                          MPI_Bcast          3            1   0.0000046480
     13                                          MPI_Bcast          4            1   0.0000049750
     13                                          MPI_Bcast          5            1   0.0000047400
     13                                          MPI_Bcast          6            1   0.0000044550
     13                                          MPI_Bcast          7            1   0.0000056770
     13                                          MPI_Bcast          8            1   0.0000053410
     13                                          MPI_Bcast          9            1   0.0000047630
     13                                          MPI_Bcast         10            1   0.0000047310
     13                                          MPI_Bcast         11            1   0.0000048120
     13                                          MPI_Bcast         12            1   0.0000048990
     13                                          MPI_Bcast         13            1   0.0000047100
     13                                          MPI_Bcast         14            1   0.0000047750
     13                                          MPI_Bcast         15            1   0.0000031290
     13                                          MPI_Bcast         16            1   0.0000047730
     13                                          MPI_Bcast         17            1   0.0000053980
     13                                          MPI_Bcast         18            1   0.0000042470
     13                                          MPI_Bcast         19            1   0.0000044330
     13                                          MPI_Bcast         20            1   0.0000049320
     14                                          MPI_Bcast          1            1   0.0001095060
     14                                          MPI_Bcast          2            1   0.0000080360
     14                                          MPI_Bcast          3            1   0.0000063140
     14                                          MPI_Bcast          4            1   0.0000064510
     14                                          MPI_Bcast          5            1   0.0000061070
     14                                          MPI_Bcast          6            1   0.0000064240
     14                                          MPI_Bcast          7            1   0.0000066250
     14                                          MPI_Bcast          8            1   0.0000074520
     14                                          MPI_Bcast          9            1   0.0000072690
     14                                          MPI_Bcast         10            1   0.0000064010
     14                                          MPI_Bcast         11            1   0.0000059400
     14                                          MPI_Bcast         12            1   0.0000065750
     14                                          MPI_Bcast         13            1   0.0000058060
     14                                          MPI_Bcast         14            1   0.0000066560
     14                                          MPI_Bcast         15            1   0.0000073790
     14                                          MPI_Bcast         16            1   0.0000066530
     14                                          MPI_Bcast         17            1   0.0000070570
     14                                          MPI_Bcast         18            1   0.0000062160
     14                                          MPI_Bcast         19            1   0.0000062530
     14                                          MPI_Bcast         20            1   0.0000068480
     15                                          MPI_Bcast          1            1   0.0001781030
     15                                          MPI_Bcast          2            1   0.0000064240
     15                                          MPI_Bcast          3            1   0.0000060410
     15                                          MPI_Bcast          4            1   0.0000067030
     15                                          MPI_Bcast          5            1   0.0000059410
     15                                          MPI_Bcast          6            1   0.0000059380
     15                                          MPI_Bcast          7            1   0.0000076180
     15                                          MPI_Bcast          8            1   0.0000068420
     15                                          MPI_Bcast          9            1   0.0000068950
     15                                          MPI_Bcast         10            1   0.0000062130
     15                                          MPI_Bcast         11            1   0.0000062770
     15                                          MPI_Bcast         12            1   0.0000071320
     15                                          MPI_Bcast         13            1   0.0000063880
     15                                          MPI_Bcast         14            1   0.0000067600
     15                                          MPI_Bcast         15            1   0.0000052370
     15                                          MPI_Bcast         16            1   0.0000066920
     15                                          MPI_Bcast         17            1   0.0000069880
     15                                          MPI_Bcast         18            1   0.0000061590
     15                                          MPI_Bcast         19            1   0.0000061130
     15                                          MPI_Bcast         20            1   0.0000067700
     16                                          MPI_Bcast          1            1   0.0002584930
     16                                          MPI_Bcast          2            1   0.0000098860
     16                                          MPI_Bcast          3            1   0.0000079560
     16                                          MPI_Bcast          4            1   0.0000085510
     16                                          MPI_Bcast          5            1   0.0000079210
     16                                          MPI_Bcast          6            1   0.0000079840
     16                                          MPI_Bcast          7            1   0.0000103390
     16                                          MPI_Bcast          8            1   0.0000093970
     16                                          MPI_Bcast          9            1   0.0000086110
     16                                          MPI_Bcast         10            1   0.0000083220
     16                                          MPI_Bcast         11            1   0.0000077100
     16                                          MPI_Bcast         12            1   0.0000085930
     16                                          MPI_Bcast         13            1   0.0000079730
     16                                          MPI_Bcast         14            1   0.0000085390
     16                                          MPI_Bcast         15            1   0.0000077950
     16                                          MPI_Bcast         16            1   0.0000085750
     16                                          MPI_Bcast         17            1   0.0000089590
     16                                          MPI_Bcast         18            1   0.0000079450
     16                                          MPI_Bcast         19            1   0.0000080410
     16                                          MPI_Bcast         20            1   0.0000088670
     17                                          MPI_Bcast          1            1   0.0000326780
     17                                          MPI_Bcast          2            1   0.0000027850
     17                                          MPI_Bcast          3            1   0.0000030380
     17                                          MPI_Bcast          4            1   0.0000027600
     17                                          MPI_Bcast          5            1   0.0000027810
     17                                          MPI_Bcast          6            1   0.0000023290
     17                                          MPI_Bcast          7            1   0.0000029720
     17                                          MPI_Bcast          8            1   0.0000029770
     17                                          MPI_Bcast          9            1   0.0000028750
     17                                          MPI_Bcast         10            1   0.0000027120
     17                                          MPI_Bcast         11            1   0.0000022260
     17                                          MPI_Bcast         12            1   0.0000027880
     17                                          MPI_Bcast         13            1   0.0000027750
     17                                          MPI_Bcast         14            1   0.0000029620
     17                                          MPI_Bcast         15            1   0.0000013040
     17                                          MPI_Bcast         16            1   0.0000018270
     17                                          MPI_Bcast         17            1   0.0000030070
     17                                          MPI_Bcast         18            1   0.0000023930
     17                                          MPI_Bcast         19            1   0.0000022950
     17                                          MPI_Bcast         20            1   0.0000029150
     18                                          MPI_Bcast          1            1   0.0000316190
     18                                          MPI_Bcast          2            1   0.0000041830
     18                                          MPI_Bcast          3            1   0.0000044820
     18                                          MPI_Bcast          4            1   0.0000043930
     18                                          MPI_Bcast          5            1   0.0000044290
     18                                          MPI_Bcast          6            1   0.0000041380
     18                                          MPI_Bcast          7            1   0.0000048100
     18                                          MPI_Bcast          8            1   0.0000050070
     18                                          MPI_Bcast          9            1   0.0000049200
     18                                          MPI_Bcast         10            1   0.0000043240
     18                                          MPI_Bcast         11            1   0.0000038140
     18                                          MPI_Bcast         12            1   0.0000041770
     18                                          MPI_Bcast         13            1   0.0000038120
     18                                          MPI_Bcast         14            1   0.0000044740
     18                                          MPI_Bcast         15            1   0.0000030630
     18                                          MPI_Bcast         16            1   0.0000041630
     18                                          MPI_Bcast         17            1   0.0000049790
     18                                          MPI_Bcast         18            1   0.0000046100
     18                                          MPI_Bcast         19            1   0.0000039800
     18                                          MPI_Bcast         20            1   0.0000049840
     19                                          MPI_Bcast          1            1   0.0001114490
     19                                          MPI_Bcast          2            1   0.0000044760
     19                                          MPI_Bcast          3            1   0.0000047000
     19                                          MPI_Bcast          4            1   0.0000048920
     19                                          MPI_Bcast          5            1   0.0000042100
     19                                          MPI_Bcast          6            1   0.0000042420
     19                                          MPI_Bcast          7            1   0.0000055140
     19                                          MPI_Bcast          8            1   0.0000048610
     19                                          MPI_Bcast          9            1   0.0000049070
     19                                          MPI_Bcast         10            1   0.0000043280
     19                                          MPI_Bcast         11            1   0.0000039130
     19                                          MPI_Bcast         12            1   0.0000053600
     19                                          MPI_Bcast         13            1   0.0000045820
     19                                          MPI_Bcast         14            1   0.0000048550
     19                                          MPI_Bcast         15            1   0.0000018420
     19                                          MPI_Bcast         16            1   0.0000044510
     19                                          MPI_Bcast         17            1   0.0000054270
     19                                          MPI_Bcast         18            1   0.0000043650
     19                                          MPI_Bcast         19            1   0.0000042110
     19                                          MPI_Bcast         20            1   0.0000050600
     20                                          MPI_Bcast          1            1   0.0001127930
     20                                          MPI_Bcast          2            1   0.0000066690
     20                                          MPI_Bcast          3            1   0.0000059280
     20                                          MPI_Bcast          4            1   0.0000064550
