#Command-line arguments:  ../reprompi/bin/mpibenchmark --calls-list=MPI_Bcast,MPI_Alltoall,MPI_Allreduce --msizes-list=8,1024,2048 --nrep=50
#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	8
#	1024
#	2048
#@operation=MPI_BOR
#@datatype=MPI_BYTE
#@datatype_extent_bytes=1
#@datatype_size_bytes=1
#@root_proc=0
#@reproMPIcommitSHA1=00325471f9a39c5ffc35796f360fb02838cbef84
#@nprocs=6
#@clocktype=local
#@clock=MPI_Wtime
#@sync=MPI_Barrier
#@nrep=50
                                              test       nrep        count    runtime_sec 
                                         MPI_Bcast          2         1024   0.0000031360
                                         MPI_Bcast          3         1024   0.0000032560
                                         MPI_Bcast          4         1024   0.0000031860
                                         MPI_Bcast          5         1024   0.0000032960
                                         MPI_Bcast          6         1024   0.0000029350
                                         MPI_Bcast          7         1024   0.0000027350
                                         MPI_Bcast          8         1024   0.0000033470
                                         MPI_Bcast          9         1024   0.0000028060
                                         MPI_Bcast         10         1024   0.0000030860
                                         MPI_Bcast         11         1024   0.0000029760
                                         MPI_Bcast         12         1024   0.0000031870
                                         MPI_Bcast         13         1024   0.0000030160
                                         MPI_Bcast         14         1024   0.0000033760
                                         MPI_Bcast         15         1024   0.0000027350
                                         MPI_Bcast         16         1024   0.0000026250
                                         MPI_Bcast         17         1024   0.0000029960
                                         MPI_Bcast         18         1024   0.0000030360
                                         MPI_Bcast         19         1024   0.0000028760
                                         MPI_Bcast         20         1024   0.0000028550
                                         MPI_Bcast         21         1024   0.0000031660
                                         MPI_Bcast         22         1024   0.0000028250
                                         MPI_Bcast         23         1024   0.0000032060
                                         MPI_Bcast         24         1024   0.0000028660
                                         MPI_Bcast         25         1024   0.0000028750
                                         MPI_Bcast         26         1024   0.0000028350
                                         MPI_Bcast         27         1024   0.0000048690
                                         MPI_Bcast         28         1024   0.0000030050
                                         MPI_Bcast         29         1024   0.0000031760
                                         MPI_Bcast         30         1024   0.0000033570
                                         MPI_Bcast         31         1024   0.0000030460
                                         MPI_Bcast         32         1024   0.0000030460
                                         MPI_Bcast         33         1024   0.0000029960
                                         MPI_Bcast         34         1024   0.0000033570
